,name,price,avg_price
0,The Eternal Wanderer,3.37,3.25
1,"Kemba, Kha Enduring",2.25,1.51
2,Norn's Wellspring,0.25,0.10
3,"Skrelv, Defector Mite",7.28,7.51
4,Skrelv's Hive,4.50,5.29
5,White Sun's Twilight,2.19,3.30
6,Blade of Shared Souls,0.30,0.36
7,Blue Sun's Twilight,0.47,0.20
8,Encroaching Mycosynth,0.48,0.79
9,Mercurial Spelldancer,4.00,4.37
10,Mindsplice Apparatus,0.64,0.74
11,"Unctus, Grand Metatect",1.37,1.72
12,Archfiend of the Dross,0.22,0.22
13,Black Sun's Twilight,0.72,0.52
14,"Geth, Thane of Contracts",0.16,0.02
15,"Karumonix, the Rat King",0.58,0.42
16,Phyrexian Arena,2.94,2.11
17,"Vraan, Executioner Thane",0.40,0.83
18,Dragonwing Glider,0.16,0.18
19,"Koth, Fire of Resistance",0.87,1.09
20,Red Sun's Twilight,0.42,0.64
21,"Slobad, Iron Goblin",0.16,0.02
22,Urabrask's Forge,0.70,0.49
23,Vindictive Flamestoker,1.24,1.28
24,Bloated Contaminator,3.38,3.44
25,Conduit of Worlds,2.34,2.17
26,Evolved Spinoderm,0.16,0.12
27,Green Sun's Twilight,0.93,0.55
28,"Thrun, Breaker of Silence",1.37,1.49
29,Venerated Rotpriest,8.89,7.41
30,"Ezuri, Stalker of Spheres",0.27,0.23
31,Glissa Sunslayer,1.28,1.40
32,"Jor Kadeen, First Goldwarden",0.16,0.02
33,"Kaito, Dancing Shadow",1.64,1.44
34,"Kaya, Intangible Slayer",0.52,0.48
35,"Kethek, Crucible Goliath",0.16,0.04
36,"Malcator, Purity Overseer",0.23,0.20
37,"Melira, the Living Cure",0.36,0.30
38,"Migloz, Maze Crusher",0.57,0.77
39,"Ovika, Enigma Goliath",0.16,0.08
40,"Ria Ivor, Bane of Bladehold",0.28,0.27
41,"Tyvar, Jubilant Brawler",8.51,10.20
42,"Venser, Corpse Puppet",0.15,0.02
43,Argentum Masticore,0.28,0.71
44,The Filigree Sylex,0.42,0.59
45,"Graaz, Unstoppable Juggernaut",0.14,0.18
46,Mirran Safehouse,0.58,0.39
47,Monument to Perfection,0.17,0.15
48,Soulless Jailer,1.37,2.00
49,Tablet of Compleation,0.17,0.78
50,Zenith Chronicler,0.71,0.83
51,Blackcleave Cliffs,6.32,6.62
52,Copperline Gorge,2.60,2.64
53,Darkslick Shores,3.32,3.48
54,Mirrex,1.52,1.78
55,The Monumental Facade,0.15,0.04
56,The Mycosynth Gardens,8.62,9.26
57,Razorverge Thicket,2.08,2.21
58,Seachrome Coast,4.60,4.96
59,The Seedcore,0.48,0.21
60,"Elesh Norn, Mother of Machines",32.47,40.34
61,"Mondrak, Glory Dominus",21.45,24.09
62,Phyrexian Vindicator,14.76,15.96
63,Ichormoon Gauntlet,14.79,15.68
64,"Jace, the Perfected Mind",6.36,7.80
65,"Tekuthal, Inquiry Dominus",13.76,14.61
66,"Drivnod, Carnage Dominus",11.76,13.93
67,Phyrexian Obliterator,15.50,15.94
68,"Vraska, Betrayal's Sting",8.88,8.91
69,All Will Be One,13.76,15.23
70,Capricious Hellraiser,9.89,8.71
71,"Solphim, Mayhem Dominus",13.76,16.22
72,"Nissa, Ascended Animist",8.85,7.89
73,Tyrranax Rex,13.65,14.63
74,"Zopandrel, Hunger Dominus",13.77,14.83
75,"Atraxa, Grand Unifier",12.77,13.84
76,"Lukka, Bound to Ruin",2.61,3.50
77,"Nahiri, the Unforgiving",6.90,8.56
78,Staff of Compleation,4.87,5.97
79,Sword of Forge and Frontier,18.65,17.50
